Kingdom	Phylum	Class	Order	Family	Genus	Species
seq243	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	NA
seq245	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
seq249	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA
seq251	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	NA
seq253	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Fretibacterium	NA
seq255	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
seq256	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	NA
seq257	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
seq258	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	canoris
seq260	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA	NA
seq261	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	russii
seq264	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	NA
seq267	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	NA	NA
seq269	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
seq272	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	crevioricanis
seq273	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA	NA
seq275	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	NA
seq276	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Flexilinea	NA
seq277	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Johnsonella	NA
seq278	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Aquaspirillaceae	Aquaspirillum	NA
seq280	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	Conchiformibius	NA
seq281	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	NA
seq285	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	NA
seq286	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
seq287	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
seq289	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
