2f	3f	6f	4f	15f	8f	16f	9f	17f	10f	18f	11f	12f	13f	14f
seq1239	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
seq1240	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
seq1245	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
seq1248	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
seq1252	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
seq1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
seq1257	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1258	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
seq1259	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
seq1260	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
seq1261	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
seq1262	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
seq1265	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
seq1266	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
seq1268	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
seq1269	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
seq1271	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
seq1274	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
seq1275	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
seq1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
seq1279	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1282	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
seq1284	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
seq1285	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
seq1286	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
seq1292	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1293	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1297	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
seq1298	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
seq1299	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
seq1300	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1301	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1302	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1303	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
seq1316	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
seq1318	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
seq1319	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
seq1321	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
seq1322	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
seq1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
seq1326	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1330	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1336	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
seq1337	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
seq1344	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
seq1345	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
seq1346	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
seq1357	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
seq1363	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1364	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1365	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1366	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
seq1369	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
seq1370	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
seq1371	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1372	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
seq1373	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
seq1382	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
seq1386	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
seq1387	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
seq1388	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
seq1389	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
seq1397	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
seq1399	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
seq1402	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1403	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
seq1408	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
seq1409	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
seq1410	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
seq1411	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1412	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
seq1413	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1414	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1420	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
seq1422	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
seq1423	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
seq1424	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
seq1427	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seq1428	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
seq1429	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seq1432	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
seq1433	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
seq1437	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
seq1438	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
seq1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
seq1450	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1452	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
seq1459	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1460	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1461	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1464	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
seq1469	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
seq1470	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
seq1471	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
seq1472	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
seq1488	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
seq1494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
seq1498	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1499	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1500	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1501	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
seq1503	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
seq1504	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
seq1506	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1508	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
seq1509	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
seq1510	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1511	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1512	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1513	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1527	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
seq1529	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
seq1536	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seq1537	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seq1538	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
seq1544	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
seq1561	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
seq1566	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
seq1576	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1578	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1579	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1580	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
seq1583	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
seq1584	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
seq1586	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1587	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
seq1588	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
seq1594	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
seq1595	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
seq1600	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
seq1601	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
seq1602	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
seq1603	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
seq1610	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seq1611	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
seq1612	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seq1622	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
seq1623	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
seq1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
seq1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
