2f	3f	6f	4f	15f	8f	16f	9f	17f	10f	18f	11f	12f	13f	14f
seq144	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
seq145	9	0	31	0	797	0	0	173	0	0	0	256	98	0	0
seq146	0	0	158	197	0	0	0	0	0	0	0	0	0	0	0
seq147	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0
seq148	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
seq151	0	0	0	119	0	0	0	0	14	0	0	0	0	0	0
seq152	0	0	0	0	107	179	0	389	0	0	0	0	0	0	153
seq153	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0
seq154	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
seq155	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
seq157	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
seq158	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
seq159	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0
seq160	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0
seq161	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
seq162	0	1664	0	0	0	0	0	0	0	0	0	0	0	0	0
seq163	0	0	218	0	0	0	0	141	0	261	0	0	0	353	549
seq165	0	0	0	28	0	0	0	0	10	0	0	0	0	0	0
seq166	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
